,Country,Climate Vulnerability Score,Year_Month,Aviation Emissions (Tons),Year,Month,Population(Thousands),GDP (current US$),CO2 Emissions (Metric Tons)
91,Spain,0.292,2019-Jun,1208440.437,2019,6,47476.0839,1.40E+12,4.954256253
92,United Kingdom,0.285,2019-Jun,3429410.668,2019,6,67222.24519,2.88E+12,5.05611326
93,Bangladesh,0.554,2019-Jun,63821.07697,2019,6,165378.8719,3.63E+11,0.549507386
94,Haiti,0.51,2019-Jun,597.6317495,2019,6,11146.66748,15561659783,0.294443939
95,Madagascar,0.559,2019-Jun,13338.99109,2019,6,28450.56515,14229440285,0.133198568
96,Maldives,0.564,2019-Jun,4979.915795,2019,6,491.5200625,5772401461,3.72641679
97,Mozambique,0.479,2019-Jun,859.3903013,2019,6,30173.11604,15814225270,0.243249637
98,Nepal,0.494,2019-Jun,17835.1244,2019,6,28549.62358,34915009751,0.486691882
99,Solomon Islands,0.634,2019-Jun,1190.401224,2019,6,733.6593958,1613655608,0.424790511
100,United Arab Emirates,0.382,2019-Jun,4026814.824,2019,6,9467.871896,4.27E+11,20.17395459
101,Vanuatu,0.56,2019-Jun,2969.815328,2019,6,294.1788542,945452624.9,0.515136694
102,Australia,0.306,2019-Jul,1482249.45,2019,7,25572.49775,1.43E+12,15.39331825
103,Canada,0.281,2019-Jul,2211625.017,2019,7,37912.7255,1.80E+12,14.68230295
104,France,0.3,2019-Jul,1868741.906,2019,7,65797.95275,2.74E+12,4.333544324
105,Germany,0.299,2019-Jul,2641779.001,2019,7,83625.06613,3.91E+12,7.759195975
106,Japan,0.36,2019-Jul,2206508.076,2019,7,126486.6933,5.01E+12,8.366674399
107,Netherlands,0.355,2019-Jul,1353365.786,2019,7,17583.37125,9.23E+11,8.17836533
108,Spain,0.292,2019-Jul,1323209.388,2019,7,47484.27687,1.40E+12,4.918747744
109,United Kingdom,0.285,2019-Jul,3654474.057,2019,7,67244.50263,2.88E+12,5.032167417
110,Bangladesh,0.554,2019-Jul,72049.27662,2019,7,165472.0353,3.65E+11,0.547462132
111,Haiti,0.51,2019-Jul,498.1518112,2019,7,11154.96838,15670773553,0.293884523
112,Madagascar,0.559,2019-Jul,15371.83925,2019,7,28496.76738,14254395406,0.131307567
113,Maldives,0.564,2019-Jul,5642.339818,2019,7,492.277875,5781662793,3.679046712
114,Mozambique,0.479,2019-Jul,1088.002046,2019,7,30230.86325,15874518531,0.242171632
115,Nepal,0.494,2019-Jul,19823.2722,2019,7,28576.7355,35060775562,0.487885269
116,Solomon Islands,0.634,2019-Jul,1738.522418,2019,7,734.761875,1612555726,0.419436566
117,United Arab Emirates,0.382,2019-Jul,4282431.42,2019,7,9485.876875,4.29E+11,20.17807654
118,Vanuatu,0.56,2019-Jul,3421.701549,2019,7,294.617625,947237896.4,0.50850713
119,Australia,0.306,2019-Aug,1417848.831,2019,8,25587.46171,1.44E+12,15.3590304
120,Canada,0.281,2019-Aug,2198865.147,2019,8,37934.35725,1.80E+12,14.6217137
121,France,0.3,2019-Aug,1849907.852,2019,8,65809.36838,2.74E+12,4.312440887
122,Germany,0.299,2019-Aug,2609913.415,2019,8,83636.04615,3.92E+12,7.731197367
123,Japan,0.36,2019-Aug,2213717.755,2019,8,126451.2381,4.99E+12,8.348053369
124,Netherlands,0.355,2019-Aug,1347948.49,2019,8,17591.01529,9.25E+11,8.139098005
125,Spain,0.292,2019-Aug,1343614.683,2019,8,47492.46985,1.40E+12,4.883239234
126,United Kingdom,0.285,2019-Aug,3640953.912,2019,8,67266.76006,2.89E+12,5.008221575
127,Bangladesh,0.554,2019-Aug,78945.64011,2019,8,165565.1986,3.67E+11,0.545416878
128,Haiti,0.51,2019-Aug,544.0684276,2019,8,11163.26927,15779887324,0.293325106
129,Madagascar,0.559,2019-Aug,17231.13825,2019,8,28542.9696,14279350527,0.129416565
130,Maldives,0.564,2019-Aug,5776.010616,2019,8,493.0356875,5790924125,3.631676633
131,Mozambique,0.479,2019-Aug,1725.1243,2019,8,30288.61046,15934811792,0.241093628
132,Nepal,0.494,2019-Aug,20848.40663,2019,8,28603.84742,35206541372,0.489078657
133,Solomon Islands,0.634,2019-Aug,1380.40061,2019,8,735.8643542,1611455844,0.414082621
134,United Arab Emirates,0.382,2019-Aug,4276850,2019,8,9503.881854,4.31E+11,20.1821985
135,Vanuatu,0.56,2019-Aug,3725.649411,2019,8,295.0563958,949023167.8,0.501877565
136,Australia,0.306,2019-Sep,1395930.382,2019,9,25602.42567,1.44E+12,15.32474254
137,Canada,0.281,2019-Sep,1960525.111,2019,9,37955.989,1.81E+12,14.56112444
138,France,0.3,2019-Sep,1632628.647,2019,9,65820.784,2.74E+12,4.29133745
139,Germany,0.299,2019-Sep,2567016.637,2019,9,83647.02617,3.92E+12,7.703198759
140,Japan,0.36,2019-Sep,2103677.156,2019,9,126415.783,4.97E+12,8.32943234
141,Netherlands,0.355,2019-Sep,1325338.65,2019,9,17598.65933,9.27E+11,8.09983068
142,Spain,0.292,2019-Sep,1255183.191,2019,9,47500.66283,1.40E+12,4.847730724
143,United Kingdom,0.285,2019-Sep,3375659.977,2019,9,67289.0175,2.89E+12,4.984275732
144,Bangladesh,0.554,2019-Sep,84711.95237,2019,9,165658.362,3.69E+11,0.543371623
145,Haiti,0.51,2019-Sep,682.9467135,2019,9,11171.57017,15889001095,0.29276569
146,Madagascar,0.559,2019-Sep,13961.39439,2019,9,28589.17183,14304305649,0.127525564
147,Maldives,0.564,2019-Sep,5036.526956,2019,9,493.7935,5800185457,3.584306555
148,Mozambique,0.479,2019-Sep,1252.318546,2019,9,30346.35767,15995105053,0.240015623
149,Nepal,0.494,2019-Sep,22200.64687,2019,9,28630.95933,35352307183,0.490272045
150,Solomon Islands,0.634,2019-Sep,1339.1794,2019,9,736.9668333,1610355962,0.408728675
151,United Arab Emirates,0.382,2019-Sep,4018409.114,2019,9,9521.886833,4.33E+11,20.18632045
152,Vanuatu,0.56,2019-Sep,3319.144567,2019,9,295.4951667,950808439.3,0.495248001
153,Australia,0.306,2019-Oct,1463169.369,2019,10,25617.38963,1.45E+12,15.29045469
154,Canada,0.281,2019-Oct,1821609.884,2019,10,37977.62075,1.82E+12,14.50053518
155,France,0.3,2019-Oct,1624827.217,2019,10,65832.19963,2.74E+12,4.270234012
156,Germany,0.299,2019-Oct,2547199.816,2019,10,83658.00619,3.93E+12,7.675200151
157,Japan,0.36,2019-Oct,2103830.76,2019,10,126380.3279,4.96E+12,8.31081131
158,Netherlands,0.355,2019-Oct,1295570.409,2019,10,17606.30338,9.29E+11,8.060563354
159,Spain,0.292,2019-Oct,1158017.099,2019,10,47508.85581,1.40E+12,4.812222215
160,United Kingdom,0.285,2019-Oct,3310090.108,2019,10,67311.27494,2.90E+12,4.960329889
161,Bangladesh,0.554,2019-Oct,73675.48009,2019,10,165751.5254,3.72E+11,0.541326369
162,Haiti,0.51,2019-Oct,413.0151506,2019,10,11179.87106,15998114865,0.292206273
163,Madagascar,0.559,2019-Oct,10523.36717,2019,10,28635.37406,14329260770,0.125634562
164,Maldives,0.564,2019-Oct,4618.637547,2019,10,494.5513125,5809446789,3.536936476
165,Mozambique,0.479,2019-Oct,1352.121788,2019,10,30404.10488,16055398314,0.238937619
166,Nepal,0.494,2019-Oct,23971.83423,2019,10,28658.07125,35498072993,0.491465432
167,Solomon Islands,0.634,2019-Oct,1387.245045,2019,10,738.0693125,1609256080,0.40337473
168,United Arab Emirates,0.382,2019-Oct,4082518.03,2019,10,9539.891813,4.35E+11,20.1904424
169,Vanuatu,0.56,2019-Oct,3797.504102,2019,10,295.9339375,952593710.7,0.488618436
170,Australia,0.306,2019-Nov,1354434.362,2019,11,25632.35358,1.46E+12,15.25616684
171,Canada,0.281,2019-Nov,1637046.897,2019,11,37999.2525,1.83E+12,14.43994593
172,France,0.3,2019-Nov,1541180.741,2019,11,65843.61525,2.74E+12,4.249130575
173,Germany,0.299,2019-Nov,2178135.175,2019,11,83668.98621,3.93E+12,7.647201542
174,Japan,0.36,2019-Nov,2113065.077,2019,11,126344.8728,4.94E+12,8.292190281
175,Netherlands,0.355,2019-Nov,1000777.742,2019,11,17613.94742,9.31E+11,8.021296029
176,Spain,0.292,2019-Nov,1021091.165,2019,11,47517.04879,1.40E+12,4.776713705
177,United Kingdom,0.285,2019-Nov,2736623.974,2019,11,67333.53238,2.90E+12,4.936384047
178,Bangladesh,0.554,2019-Nov,53677.91514,2019,11,165844.6888,3.74E+11,0.539281115
179,Haiti,0.51,2019-Nov,5535.63448,2019,11,11188.17196,16107228636,0.291646856
180,Madagascar,0.559,2019-Nov,13240.79219,2019,11,28681.57629,14354215891,0.123743561
181,Maldives,0.564,2019-Nov,2625.189054,2019,11,495.309125,5818708122,3.489566398
182,Mozambique,0.479,2019-Nov,1134.771558,2019,11,30461.85208,16115691575,0.237859614
183,Nepal,0.494,2019-Nov,24457.77873,2019,11,28685.18317,35643838804,0.49265882
184,Solomon Islands,0.634,2019-Nov,1664.724147,2019,11,739.1717917,1608156198,0.398020785
185,United Arab Emirates,0.382,2019-Nov,3912441.5,2019,11,9557.896792,4.37E+11,20.19456435
186,Vanuatu,0.56,2019-Nov,3413.659392,2019,11,296.3727083,954378982.2,0.481988871
187,Australia,0.306,2019-Dec,1458701.107,2019,12,25647.31754,1.46E+12,15.22187899
188,Canada,0.281,2019-Dec,1872749.323,2019,12,38020.88425,1.84E+12,14.37935667
189,France,0.3,2019-Dec,1657031.661,2019,12,65855.03088,2.74E+12,4.228027137
190,Germany,0.299,2019-Dec,2119667.819,2019,12,83679.96623,3.93E+12,7.619202934
191,Japan,0.36,2019-Dec,2148244.581,2019,12,126309.4176,4.92E+12,8.273569252
192,Netherlands,0.355,2019-Dec,1033146.793,2019,12,17621.59146,9.33E+11,7.982028704
193,Spain,0.292,2019-Dec,1035380.681,2019,12,47525.24177,1.40E+12,4.741205196
194,United Kingdom,0.285,2019-Dec,2852746.093,2019,12,67355.78981,2.91E+12,4.912438204
195,Bangladesh,0.554,2019-Dec,64191.52472,2019,12,165937.8521,3.76E+11,0.537235861
196,Haiti,0.51,2019-Dec,6142.305537,2019,12,11196.47285,16216342407,0.29108744
197,Madagascar,0.559,2019-Dec,10658.48153,2019,12,28727.77852,14379171013,0.121852559
198,Maldives,0.564,2019-Dec,4037.338078,2019,12,496.0669375,5827969454,3.442196319
199,Mozambique,0.479,2019-Dec,1029.180351,2019,12,30519.59929,16175984836,0.23678161
200,Nepal,0.494,2019-Dec,26520.26182,2019,12,28712.29508,35789604614,0.493852208
201,Solomon Islands,0.634,2019-Dec,1225.430856,2019,12,740.2742708,1607056316,0.392666839
202,United Arab Emirates,0.382,2019-Dec,4168158.022,2019,12,9575.901771,4.38E+11,20.1986863
203,Vanuatu,0.56,2019-Dec,3528.679518,2019,12,296.8114792,956164253.6,0.475359307
204,Australia,0.306,2020-Jan,1477292.302,2020,1,25662.2815,1.47E+12,15.18759113
205,Canada,0.281,2020-Jan,1872473.879,2020,1,38042.516,1.85E+12,14.31876742
206,France,0.3,2020-Jan,1617400.189,2020,1,65866.4465,2.74E+12,4.2069237
207,Germany,0.299,2020-Jan,2158202.119,2020,1,83690.94625,3.94E+12,7.591204326
208,Japan,0.36,2020-Jan,2154868.483,2020,1,126273.9625,4.90E+12,8.254948222
209,Netherlands,0.355,2020-Jan,1002921.339,2020,1,17629.2355,9.35E+11,7.942761379
210,Spain,0.292,2020-Jan,1036061.421,2020,1,47533.43475,1.40E+12,4.705696686
211,United Kingdom,0.285,2020-Jan,2691347.776,2020,1,67378.04725,2.91E+12,4.888492362
212,Bangladesh,0.554,2020-Jan,63919.97371,2020,1,166031.0155,3.78E+11,0.535190607
213,Haiti,0.51,2020-Jan,5389.082079,2020,1,11204.77375,16325456177,0.290528023
214,Madagascar,0.559,2020-Jan,11538.58549,2020,1,28773.98075,14404126134,0.119961558
215,Maldives,0.564,2020-Jan,5575.407059,2020,1,496.82475,5837230786,3.394826241
216,Mozambique,0.479,2020-Jan,980.1122992,2020,1,30577.3465,16236278097,0.235703606
217,Nepal,0.494,2020-Jan,27107.58826,2020,1,28739.407,35935370424,0.495045595
218,Solomon Islands,0.634,2020-Jan,1555.341497,2020,1,741.37675,1605956435,0.387312894
219,United Arab Emirates,0.382,2020-Jan,4168550.961,2020,1,9593.90675,4.40E+11,20.20280826
220,Vanuatu,0.56,2020-Jan,3410.364994,2020,1,297.25025,957949525.1,0.468729742
221,Australia,0.306,2020-Feb,1284976.501,2020,2,25677.24546,1.48E+12,15.15330328
222,Canada,0.281,2020-Feb,1694248.538,2020,2,38064.14775,1.86E+12,14.25817816
223,France,0.3,2020-Feb,1432835.036,2020,2,65877.86213,2.74E+12,4.185820263
224,Germany,0.299,2020-Feb,1973149.7,2020,2,83701.92627,3.94E+12,7.563205718
225,Japan,0.36,2020-Feb,1979043.843,2020,2,126238.5074,4.88E+12,8.236327193
226,Netherlands,0.355,2020-Feb,904311.0477,2020,2,17636.87954,9.37E+11,7.903494054
227,Spain,0.292,2020-Feb,915249.8971,2020,2,47541.62773,1.40E+12,4.670188177
228,United Kingdom,0.285,2020-Feb,2564103.336,2020,2,67400.30469,2.92E+12,4.864546519
229,Bangladesh,0.554,2020-Feb,61926.75054,2020,2,166124.1789,3.81E+11,0.533145353
230,Haiti,0.51,2020-Feb,414.0407609,2020,2,11213.07465,16434569948,0.289968607
231,Madagascar,0.559,2020-Feb,7273.320822,2020,2,28820.18298,14429081255,0.118070556
232,Maldives,0.564,2020-Feb,2989.952604,2020,2,497.5825625,5846492118,3.347456162
233,Mozambique,0.479,2020-Feb,1445.084554,2020,2,30635.09371,16296571358,0.234625601
234,Nepal,0.494,2020-Feb,24249.6575,2020,2,28766.51892,36081136235,0.496238983
235,Solomon Islands,0.634,2020-Feb,720.836443,2020,2,742.4792292,1604856553,0.381958948
236,United Arab Emirates,0.382,2020-Feb,3684528.65,2020,2,9611.911729,4.42E+11,20.20693021
237,Vanuatu,0.56,2020-Feb,2018.516278,2020,2,297.6890208,959734796.5,0.462100178
238,Australia,0.306,2020-Mar,1084989.672,2020,3,25692.20942,1.48E+12,15.11901543
239,Canada,0.281,2020-Mar,1439552.267,2020,3,38085.7795,1.87E+12,14.1975889
240,France,0.3,2020-Mar,1026712.238,2020,3,65889.27775,2.74E+12,4.164716825
241,Germany,0.299,2020-Mar,1423173.205,2020,3,83712.90629,3.95E+12,7.53520711
242,Japan,0.36,2020-Mar,1765301.091,2020,3,126203.0523,4.87E+12,8.217706164
243,Netherlands,0.355,2020-Mar,696826.9128,2020,3,17644.52358,9.39E+11,7.864226729
244,Spain,0.292,2020-Mar,600311.3994,2020,3,47549.82071,1.40E+12,4.634679667
245,United Kingdom,0.285,2020-Mar,1934323.168,2020,3,67422.56213,2.92E+12,4.840600677
246,Bangladesh,0.554,2020-Mar,38172.97625,2020,3,166217.3423,3.83E+11,0.531100099
247,Haiti,0.51,2020-Mar,354.795534,2020,3,11221.37554,16543683719,0.28940919
248,Madagascar,0.559,2020-Mar,3303.015762,2020,3,28866.38521,14454036376,0.116179555
249,Maldives,0.564,2020-Mar,1303.136724,2020,3,498.340375,5855753451,3.300086084
250,Mozambique,0.479,2020-Mar,2427.316006,2020,3,30692.84092,16356864619,0.233547597
251,Nepal,0.494,2020-Mar,14111.61388,2020,3,28793.63083,36226902045,0.497432371
252,Solomon Islands,0.634,2020-Mar,1047.4619,2020,3,743.5817083,1603756671,0.376605003
253,United Arab Emirates,0.382,2020-Mar,2608988.012,2020,3,9629.916708,4.44E+11,20.21105216
254,Vanuatu,0.56,2020-Mar,2021.255669,2020,3,298.1277917,961520068,0.455470613
255,Australia,0.306,2020-Apr,204921.8725,2020,4,25707.17338,1.49E+12,15.08472758
256,Canada,0.281,2020-Apr,313765.5592,2020,4,38107.41125,1.87E+12,14.13699965
257,France,0.3,2020-Apr,131701.0539,2020,4,65900.69338,2.74E+12,4.143613388
258,Germany,0.299,2020-Apr,509573.4314,2020,4,83723.88631,3.95E+12,7.507208502
259,Japan,0.36,2020-Apr,721413.3417,2020,4,126167.5971,4.85E+12,8.199085134
260,Netherlands,0.355,2020-Apr,177368.7956,2020,4,17652.16763,9.41E+11,7.824959404
261,Spain,0.292,2020-Apr,80596.88183,2020,4,47558.01369,1.40E+12,4.599171157
262,United Kingdom,0.285,2020-Apr,254905.6874,2020,4,67444.81956,2.93E+12,4.816654834
263,Bangladesh,0.554,2020-Apr,1137.61738,2020,4,166310.5056,3.85E+11,0.529054845
264,Haiti,0.51,2020-Apr,0,2020,4,11229.67644,16652797489,0.288849774
265,Madagascar,0.559,2020-Apr,23.06408732,2020,4,28912.58744,14478991498,0.114288554
266,Maldives,0.564,2020-Apr,1428.337896,2020,4,499.0981875,5865014783,3.252716005
267,Mozambique,0.479,2020-Apr,740.0382945,2020,4,30750.58813,16417157880,0.232469592
268,Nepal,0.494,2020-Apr,1191.642037,2020,4,28820.74275,36372667856,0.498625758
269,Solomon Islands,0.634,2020-Apr,400.9404154,2020,4,744.6841875,1602656789,0.371251058
270,United Arab Emirates,0.382,2020-Apr,330211.7265,2020,4,9647.921688,4.46E+11,20.21517411
271,Vanuatu,0.56,2020-Apr,52.07794545,2020,4,298.5665625,963305339.5,0.448841049
272,Australia,0.306,2020-May,200919.0169,2020,5,25722.13733,1.49E+12,15.05043972
273,Canada,0.281,2020-May,420490.2041,2020,5,38129.043,1.88E+12,14.07641039
274,France,0.3,2020-May,218287.7169,2020,5,65912.109,2.75E+12,4.122509951
275,Germany,0.299,2020-May,554208.8107,2020,5,83734.86633,3.95E+12,7.479209893
276,Japan,0.36,2020-May,558437.8957,2020,5,126132.142,4.83E+12,8.180464105
277,Netherlands,0.355,2020-May,280396.5071,2020,5,17659.81167,9.43E+11,7.785692079
278,Spain,0.292,2020-May,83425.2818,2020,5,47566.20667,1.40E+12,4.563662648
279,United Kingdom,0.285,2020-May,362993.2759,2020,5,67467.077,2.93E+12,4.792708991
280,Bangladesh,0.554,2020-May,1493.307812,2020,5,166403.669,3.88E+11,0.527009591
281,Haiti,0.51,2020-May,3.073436133,2020,5,11237.97733,16761911260,0.288290357
282,Madagascar,0.559,2020-May,86.55188067,2020,5,28958.78967,14503946619,0.112397552
283,Maldives,0.564,2020-May,1700.262672,2020,5,499.856,5874276115,3.205345926
284,Mozambique,0.479,2020-May,717.1656768,2020,5,30808.33533,16477451141,0.231391588
285,Nepal,0.494,2020-May,2336.487732,2020,5,28847.85467,36518433666,0.499819146
286,Solomon Islands,0.634,2020-May,416.9806554,2020,5,745.7866667,1601556907,0.365897112
287,United Arab Emirates,0.382,2020-May,579586.549,2020,5,9665.926667,4.48E+11,20.21929606
288,Vanuatu,0.56,2020-May,38.47425982,2020,5,299.0053333,965090610.9,0.442211484
289,Australia,0.306,2020-Jun,238234.6853,2020,6,25737.10129,1.50E+12,15.01615187
290,Canada,0.281,2020-Jun,436987.8049,2020,6,38150.67475,1.89E+12,14.01582114
291,France,0.3,2020-Jun,411110.0815,2020,6,65923.52463,2.75E+12,4.101406513
292,Germany,0.299,2020-Jun,557791.7612,2020,6,83745.84635,3.96E+12,7.451211285
